"WHO_region","Country","ISO2","Country_ID","ADMIN1_NAME","ADMIN1_ID","IU_Name","District_ID","IU_ID","Endemicity","MDA_status","MDA_start_APOC","IVM_APOC_duration","start_year","end_year","Period","PopReq","PopTreat","Cov","MDA","EffMDA","MDA_n","EffMDA_n","Composite_IU_ID"
"AFRO","Nigeria","NG",34,"Lagos",478,"Ifako-Ijaiye",2099,36851,"Consider Oncho Elimination Mapping","PC Not yet required",null,0,2017,2017,"Annual",0,0,0,0,0,0,0,"ANGA0379936851"
"AFRO","Nigeria","NG",34,"Lagos",478,"Ikeja",2101,36852,"Consider Oncho Elimination Mapping","PC Not yet required",null,0,2017,2017,"Annual",0,0,0,0,0,0,0,"ANGA0379936852"
"AFRO","Nigeria","NG",34,"Lagos",478,"Ikorodu",2102,36853,"Consider Oncho Elimination Mapping","PC Not yet required",null,0,2017,2017,"Annual",0,0,0,0,0,0,0,"ANGA0379936853"
"AFRO","Nigeria","NG",34,"Lagos",478,"Kosofe",2103,36854,"Consider Oncho Elimination Mapping","PC Not yet required",null,0,2017,2017,"Annual",0,0,0,0,0,0,0,"ANGA0379936854"
"AFRO","Nigeria","NG",34,"Lagos",478,"Lagos Island",2104,36855,"Consider Oncho Elimination Mapping","PC Not yet required",null,0,2017,2017,"Annual",0,0,0,0,0,0,0,"ANGA0379936855"
"AFRO","Nigeria","NG",34,"Lagos",478,"Lagos Mainland",2105,36856,"Consider Oncho Elimination Mapping","PC Not yet required",null,0,2017,2017,"Annual",0,0,0,0,0,0,0,"ANGA0379936856"
"AFRO","Nigeria","NG",34,"Borno",461,"Maiduguri",1747,36498,"Consider Oncho Elimination Mapping","PC Not yet required",null,0,2017,2017,"Annual",0,0,0,0,0,0,0,"ANGA0378236498"
"AFRO","Nigeria","NG",34,"Sokoto",487,"Kebbe",2299,37050,"Unknown (under LF MDA)","PC Not yet required",null,6,2017,2017,"Annual",130849,127810,97.6774755634357,1,1,1,1,"ANGA0380837050"
"AFRO","Nigeria","NG",34,"Borno",461,"Hawul",1738,36489,"Endemic (under MDA)","Under PC (Endemic)","1999",14,2017,2017,"Annual",126289,83911,66.4436332538859,1,1,1,1,"ANGA0378236489"
"AFRO","Nigeria","NG",34,"Borno",461,"Jere",1739,36490,"Consider Oncho Elimination Mapping","PC Not yet required",null,0,2017,2017,"Annual",0,0,0,0,0,0,0,"ANGA0378236490"
"AFRO","Nigeria","NG",34,"Borno",461,"Kaga",1740,36491,"Consider Oncho Elimination Mapping","PC Not yet required",null,0,2017,2017,"Annual",0,0,0,0,0,0,0,"ANGA0378236491"
"AFRO","Nigeria","NG",34,"Borno",461,"Kukawa",1743,36494,"Consider Oncho Elimination Mapping","PC Not yet required",null,0,2017,2017,"Annual",0,0,0,0,0,0,0,"ANGA0378236494"
"AFRO","Nigeria","NG",34,"Borno",461,"Kwaya/Kusar",1744,36495,"Endemic (under MDA)","Under PC (Endemic)","1999",17,2017,2017,"Annual",59306,87520,147.573601321957,1,1,1,1,"ANGA0378236495"
"AFRO","Nigeria","NG",34,"Kaduna",472,"Kachia",1939,36690,"Endemic (under MDA)","Under PC (Endemic)","1998",16,2017,2017,"Annual",256408,253115,98.7157186983246,1,1,1,1,"ANGA0379336690"
"AFRO","Nigeria","NG",34,"Kaduna",472,"Kagarko",1942,36693,"Endemic (under MDA)","Under PC (Endemic)","1998",16,2017,2017,"Annual",252911,247739,97.9550118421105,1,1,1,1,"ANGA0379336693"
"AFRO","Nigeria","NG",34,"Edo",465,"Esan North East",1813,36564,"Endemic (under MDA)","Under PC (Endemic)","1999",17,2017,2017,"Annual",122218,121986,99.8101752605999,1,1,1,1,"ANGA0378636564"
"AFRO","Nigeria","NG",34,"Edo",465,"Esan South East",1814,36565,"Endemic (under MDA)","Under PC (Endemic)","1999",17,2017,2017,"Annual",171757,157385,91.6323643286737,1,1,1,1,"ANGA0378636565"
"AFRO","Nigeria","NG",34,"Edo",465,"Esan West",1815,36566,"Endemic (under MDA)","Under PC (Endemic)","1999",17,2017,2017,"Annual",128871,115919,89.9496395620427,1,1,1,1,"ANGA0378636566"
"AFRO","Nigeria","NG",34,"Edo",465,"Etsako Central",1816,36567,"Endemic (under MDA)","Under PC (Endemic)","2015",1,2017,2017,"Annual",96851,90559,93.5034227834509,1,1,1,1,"ANGA0378636567"
"AFRO","Nigeria","NG",34,"Edo",465,"Etsako East",1817,36568,"Endemic (under MDA)","Under PC (Endemic)","1999",17,2017,2017,"Annual",149509,103763,69.4025108856323,1,1,1,1,"ANGA0378636568"
"AFRO","Nigeria","NG",34,"Kaduna",472,"Kaduna North",1940,36691,"Unknown (under LF MDA)","PC Not yet required",null,1,2017,2017,"Annual",375461,269438,71.7619140203643,1,1,1,1,"ANGA0379336691"
